item,date,mean,median
Takeaway Fish & Chips,2000-02-01,2.9168518,2.9749999
Takeaway Fish & Chips,2000-03-01,2.9090741,2.95
Takeaway Fish & Chips,2000-04-01,2.9339015,3
Takeaway Fish & Chips,2000-05-01,2.9475095,3
Takeaway Fish & Chips,2000-06-01,2.9400375,3
Takeaway Fish & Chips,2000-07-01,2.9633594,3
Takeaway Fish & Chips,2000-08-01,2.9678926,3
Takeaway Fish & Chips,2000-09-01,3.006207,3
Takeaway Fish & Chips,2000-10-01,3.0073078,3
Takeaway Fish & Chips,2000-11-01,3.0113027,3
Takeaway Fish & Chips,2000-12-01,3.0322957,3
Takeaway Fish & Chips,2001-01-01,3.0319924,3.05
Takeaway Fish & Chips,2001-02-01,3.0391321,3.0999999
Takeaway Fish & Chips,2001-03-01,3.067116,3.0999999
Takeaway Fish & Chips,2001-04-01,3.0808582,3.0999999
Takeaway Fish & Chips,2001-05-01,3.1042264,3.0999999
Takeaway Fish & Chips,2001-06-01,3.1162825,3.0999999
Takeaway Fish & Chips,2001-07-01,3.1271641,3.1500001
Takeaway Fish & Chips,2001-08-01,3.1448495,3.1500001
Takeaway Fish & Chips,2001-09-01,3.1510112,3.1500001
Takeaway Fish & Chips,2001-10-01,3.1630259,3.2
Takeaway Fish & Chips,2001-11-01,3.1731868,3.2
Takeaway Fish & Chips,2001-12-01,3.1857994,3.2
Takeaway Fish & Chips,2002-01-01,3.1980741,3.25
Takeaway Fish & Chips,2002-02-01,3.19682,3.2
Takeaway Fish & Chips,2002-03-01,3.1927986,3.2
Takeaway Fish & Chips,2002-04-01,3.2083395,3.2
Takeaway Fish & Chips,2002-05-01,3.2052433,3.2
Takeaway Fish & Chips,2002-06-01,3.2410188,3.25
Takeaway Fish & Chips,2002-07-01,3.2454789,3.25
Takeaway Fish & Chips,2002-08-01,3.2789021,3.25
Takeaway Fish & Chips,2002-09-01,3.2781227,3.25
Takeaway Fish & Chips,2002-10-01,3.2801867,3.25
Takeaway Fish & Chips,2002-11-01,3.2997744,3.3
Takeaway Fish & Chips,2002-12-01,3.3053904,3.25
Takeaway Fish & Chips,2003-01-01,3.3254023,3.3
Takeaway Fish & Chips,2003-02-01,3.3077993,3.3
Takeaway Fish & Chips,2003-03-01,3.3016031,3.25
Takeaway Fish & Chips,2003-04-01,3.3165531,3.3
